id user	screen_name	net	relation	followers	following	statuses	lists	since	name	time zone	location	web	avatar	bio	timestamp
39203045	Residente	@Residente	root	6203530	1798	29734	21037	2009-05-11 06:01:58	Residente	None	Puerto Rico 	https://t.co/1HhUwbyZzB	http://pbs.twimg.com/profile_images/1261125990199238657/bFAW_82j_normal.jpg	El papá de Milo	2022-3-5 9:37:11
44670915	JBALVIN	@JBALVIN	root	10533684	538	31708	7287	2009-06-04 17:41:41	J BALVIN	None		https://t.co/ovvz5VMzd9	http://pbs.twimg.com/profile_images/1478877644028616707/sPhCRKiE_normal.jpg	Ser Humano	2022-3-5 9:37:11
1728956976	rosalia	@rosalia	root	3060196	47	5789	1084	2013-09-04 14:48:54	R O S A L Í A	None	Barcelona	None	http://pbs.twimg.com/profile_images/1410016832048746498/7nb0zbG6_normal.jpg	https://t.co/eSmopJzW1W 🔥🔥 💖 🔥 🔥	2022-3-5 9:37:12
820592654639566850	bizarrap	@bizarrap	root	2933562	97	3865	214	2017-01-15 11:25:09	bzrp	None	Buenos Aires, Argentina	https://t.co/PIrkFvWnAj	http://pbs.twimg.com/profile_images/1476851194354036739/pym39QAo_normal.jpg	prod by bzrp https://t.co/QKRIVlSuo9	2022-3-5 9:37:12
154605679	DONOMAR	@DONOMAR	root	5276982	4654	45181	6787	2010-06-11 18:13:18	DON OMAR aka KONG	None	#SINCERO Out Now 👉🏾	https://t.co/Q3mvMLytCf	http://pbs.twimg.com/profile_images/1481769013390753794/Mv44Aq06_normal.jpg	Bookings • bookings@donomar.com •\• Facebook e Instagram @DONOMAR	2022-3-5 9:37:12
112760608	LatinBillboards	@LatinBillboards	root	704803	644	22101	960	2010-02-09 16:32:32	Premios Billboard	None		https://t.co/Xv4671HlXj	http://pbs.twimg.com/profile_images/1415311263358496773/jH5NrGmk_normal.png	Premios Billboard de la Música Latina 🗓Jueves 23 de septiembre 📍Watsco Center - Coral Gables, FL 📺 @telemundo	2022-3-5 9:37:13
9695312	billboard	@Billboard	root	13413940	3436	290796	21479	2007-10-25 21:33:23	billboard	None		https://t.co/HLsfCRcHb6	http://pbs.twimg.com/profile_images/1148300782242095105/9vWg5A_I_normal.png	music • charts • news • more | @billboardcharts • @billboarddance • @billboardhiphop • @billboardlatin • @billboardpride • @billboardbiz	2022-3-5 9:37:13
82717109	UniversalMusica	@UniversalMusica	root	1454451	530	22110	995	2009-10-15 21:27:33	Universal Music Latino	None	Miami, Florida	https://t.co/Aa9byO8x1v	http://pbs.twimg.com/profile_images/1410693853422796800/mzSnFf-p_normal.jpg	Somos Universal Music Latino || Descubre música nueva, contenido exclusivo y más de tus artistas latinos favoritos 🎵 📀 🔥	2022-3-5 9:37:13
153433497	maluma	@maluma	root	8030139	115	20453	4094	2010-06-08 14:51:21	PAPI JUANCHO. 🦁	None		None	http://pbs.twimg.com/profile_images/1475163041910202380/jY0xv1MP_normal.jpg	BIENVENIDOS A MI MUNDO!!!!	2022-3-5 9:37:14
2754746065	IbaiLlanos	@IbaiLlanos	root	7841912	846	64330	2634	2014-08-22 11:50:45	Ibai	None	Barcelona	https://t.co/CaLlqtBLac	http://pbs.twimg.com/profile_images/1476303212672131074/kuPm3Cvp_normal.jpg	Sigue a nuestro equipo @KOI, https://t.co/CaLlqtBLac, https://t.co/ipt9q2MZWu,	2022-3-5 9:37:14
703558015862104064	Anuel_2bleA	@Anuel_2bleA	root	1980034	0	4780	419	2016-02-27 12:31:17	Anuel_A▲	None	Puerto Rico	https://t.co/aPqGW1SVAC	http://pbs.twimg.com/profile_images/1491453424386420738/knK0kZtY_normal.jpg	#DICTADURA OUT NOW | LINK: https://t.co/o0T2vt3Jg7 👹🔥	2022-3-5 9:37:14
73208083	ArcangelPrrra	@ArcangelPrrra	root	2022653	456	26594	3635	2009-09-10 20:11:05	AUSTIN A. SANTOS	None	Asiento 1A First Class	https://t.co/8ZpFOftr0q	http://pbs.twimg.com/profile_images/1438898341169950723/3TQxW_T6_normal.jpg	FLOW FACTORY	2022-3-5 9:37:14
36928426	rubenblades	@rubenblades	root	1049977	303	2584	1907	2009-05-01 11:58:52	Rubén Blades	None		https://t.co/W5oiEzV5LT	http://pbs.twimg.com/profile_images/1382879771168808961/-FQtby5R_normal.jpg	RUBEN BLADES | Página oficial • Official page | Contrataciones • Booking https://t.co/51Mo8ula8H | Daniel Aisemberg	2022-3-5 9:37:15
1221580671480745984	MykeTowers_	@MykeTowers_	root	167759	2	3032	84	2020-01-26 23:48:38	MT	None	Puerto Rico 	https://t.co/bTBWLIgBOJ	http://pbs.twimg.com/profile_images/1436067654591254530/w8k6O6xZ_normal.jpg	ELLA NO ES TUYA, TE VENDIÓ SUEÑO 🚀. LYKE MIKE OUT NOW! PARODIA 💋.	2022-3-5 9:37:15
73954053	chocquibtown	@chocquibtown	root	1122224	928	19539	1597	2009-09-13 19:25:01	chocquibtown	None	Chocó, Colombia	https://t.co/JyXwwDkYdd	http://pbs.twimg.com/profile_images/1444847193274388486/4fS35vnn_normal.jpg	🔰Chocó, Colombia - South A ✌🏾️Agrupación nominada y ganadora de Grammy Lat 🖊Booking roadmanagerCQT@laindustriainc com 📱+57 315 3846594	2022-3-5 9:37:15
4873308778	ozuna	@ozuna	root	2025623	1	2166	379	2016-02-03 04:31:24	Ozuna	None		https://t.co/sFtmkOnQhW	http://pbs.twimg.com/profile_images/1445861820464451595/Oi4KpuYQ_normal.jpg		2022-3-5 9:37:16
25594518	TEGOCALDERON	@TEGOCALDERON	root	361007	11875	19727	2165	2009-03-20 23:01:33	Negro Calde	None	Santurce El Sitio P.R	None	http://pbs.twimg.com/profile_images/1318695194636812288/XhAmQjxA_normal.jpg	🐓	2022-3-5 9:37:16
173607931	DJLUIAN	@DJLUIAN	root	221593	1	30793	341	2010-08-01 22:37:56	HEAR THIS MUSIC	None	Puerto Rico	https://t.co/T1pj1QiIFN	http://pbs.twimg.com/profile_images/1116872185635844105/1rt-FxfG_normal.jpg	Contact Me On DJLUIANBOOKING@GMAIL.COM	2022-3-5 9:37:16
3434084673	MariaBecerra22	@MariaBecerra22	root	2188558	206	10534	239	2015-08-21 12:34:24	ANIMAL	None		https://t.co/UxHuQx0I7v	http://pbs.twimg.com/profile_images/1495912202762522625/XS1jkzuD_normal.jpg	222🧚🏼‍♀️ | Contacto: info@maribecerra.com ESCUCHA MI MUSICA	2022-3-5 9:37:17
22733444	Tyga	@Tyga	root	4921822	4105	12150	11253	2009-03-04 04:29:52	T-Raww	None	LA	https://t.co/tW7K0u6aXo	http://pbs.twimg.com/profile_images/1465025997330206720/oPigUMnl_normal.jpg		2022-3-5 9:37:17
17230018	Spotify	@Spotify	root	5060662	17752	37170	17016	2008-11-07 12:14:28	Spotify	None		https://t.co/5G4Hekn0ea	http://pbs.twimg.com/profile_images/1013614110171250688/vrPUCDn2_normal.jpg	Listening is everything. Podcasts 👉 @SpotifyPodcasts Live audio 👉 @SpotifyGrnRoom Support 👉 @SpotifyCares	2022-3-5 9:37:17
1250611703915655171	losxavales00	@losxavales00	root	33794	39	2407	15	2020-04-16 02:27:56	Los Xavales	None		https://t.co/UCNZMsOM3i	http://pbs.twimg.com/profile_images/1363207852555386882/62mEVchS_normal.jpg	Hablamos de música, principalmente de la escena urbana española. Siempre desde el respeto y buen gusto. Vídeo diario en Los Xavales	2022-3-5 9:37:18
17243213	RecordingAcad	@RecordingAcad	root	3528250	19415	50593	9446	2008-11-08 02:03:24	Recording Academy / GRAMMYs	None	Santa Monica	https://t.co/vFT6G0PwM8	http://pbs.twimg.com/profile_images/1461010926233026564/QjCzQGnP_normal.png	Honoring music excellence through the #GRAMMYs. @TrevorNoah is hosting Music’s Biggest Night on April 3, 2022.	2022-3-5 9:37:18
137486112	AmericaTV	@AmericaTV	root	1089075	535	140558	1423	2010-04-26 22:14:46	América TV	None	Buenos Aires, Argentina	https://t.co/3x26XCEr4g	http://pbs.twimg.com/profile_images/1267455772323086338/ilCsV2Ms_normal.png	⭐ MIRÁ AMÉRICA TV EN VIVO 👉 https://t.co/hp3QqHQw47 ⭐ TODOS LOS PROGRAMAS COMPLETOS Y MEJORES MOMENTOS 👉 https://t.co/veFjZmEIhq 📺 #SiempreConVos	2022-3-5 9:37:18
34010442	Moluskein	@Moluskein	root	358386	987	47853	881	2009-04-21 19:30:04	El Molu	None		https://t.co/PsoMSOHfLA	http://pbs.twimg.com/profile_images/1499441477591699456/pR2wFxsH_normal.jpg	Vivo en La Mega, La Musica App, Twitter, Instagram, Facebook, TikTok y YouTube #MoluscoTV. Mi contenido este en el link de abajo	2022-3-5 9:37:19
87666970	europa_fm	@europa_fm	root	555425	2010	87406	951	2009-11-05 11:38:35	Europa FM	None	Barcelona	None	http://pbs.twimg.com/profile_images/1480176773598003201/thwNI6Qe_normal.jpg	La radio con la mejor música del 2000 hasta hoy y los programas más rompedores. Visítanos en https://t.co/wVFbWLqhjr, o Facebook: https://t.co/YGlFkouTJ1	2022-3-5 9:37:19
78335735	karolg	@karolg	root	5020352	0	11201	703	2009-09-29 15:16:56	LABICHOTA	None		https://t.co/BCqNWqgQwf	http://pbs.twimg.com/profile_images/1443269375637794833/LjDMRYPB_normal.jpg		2022-3-5 9:37:19
561583671	NathyPeluso	@NathyPeluso	root	545115	0	3512	198	2012-04-23 21:59:48	Nathy Peluso	None		None	http://pbs.twimg.com/profile_images/1494355744166141952/TgBKV8FF_normal.jpg	EMERGENCIA	2022-3-5 9:37:19
110825732	CamiloMusica	@CamiloMusica	root	1629919	491	15607	1407	2010-02-02 22:23:32	Camilo	None		https://t.co/GQ9c8lspjB	http://pbs.twimg.com/profile_images/1431327286414950411/fjoyT_bE_normal.jpg	⛺️LA TRIBU🔥 escucha BALONCITO VIEJO ♥️⚽️	2022-3-5 9:37:20
69413371	FarrukoOfficial	@FarrukoOfficial	root	5046931	604	11303	3577	2009-08-27 21:43:54	Farruko	None	Puerto Rico	https://t.co/ZMArDA8t1i	http://pbs.twimg.com/profile_images/1443726382983417856/2sRa5kit_normal.jpg	⛽️🏁 #La167 💿	2022-3-5 9:37:20
3072209228	DukiSSJ	@DukiSSJ	root	2665254	87	19097	251	2015-03-11 02:04:00	EL HOMBRE REMIX	None	LAS NUBES	https://t.co/TfapxzuSnB	http://pbs.twimg.com/profile_images/1408185160160382981/mVnFACBc_normal.jpg	This is - https://t.co/hwE1eX2m5s Booking | Comercial duki@lauriaweb.com | dukiyb@gmail.com	2022-3-5 9:37:20
1029323618	SebastianYatra	@SebastianYatra	root	1976240	203	12693	464	2012-12-22 21:44:24	Sebastian Yatra	None		https://t.co/Avtldl4Ty3	http://pbs.twimg.com/profile_images/1468301922520215556/LGuM5YsW_normal.jpg	booking@sebastianyatra.com Dharma🔥🌞	2022-3-5 9:37:21
